THIS CALLS FOR A TOAST,Phrase,0
TRUSTED FRIEND,Person,0
THE AMAZING SPIDER-MAN,Movie Title,0
SLEEPING BEAUTY PAGEANT WINNER,Before & After,0
JEAN JACKET,Thing,0
SIGHTSEEING EXPEDITION,Event,0
PEARL EARRINGS,Things,0
ENCORE PERFORMANCE,Show Biz,0
WORTH THE WAIT,Phrase,0
MASSAGE TABLE,Thing,0
SOLD-OUT CONCERT,Show Biz,0
TOSSING COINS INTO A WISHING WELL,What Are You Doing?,0
CREAM CHEESE CARROT CAKE,Same Letter,0
MOLECULE,Thing,0
YOU MUST BE MY LUCKY STAR,Song Lyrics,0
NIGHTINGALES,Living Things,0
MARRIED WITH CHILDREN,The 90's,0
EXACTLY ALIKE,Phrase,0
LET YOU HAIR DOWN,Phrase,0
TREASURE HUNT,Event,0
BALLROOM DANCE INSTRUCTOR,Occupation,0
LUKEWARM WATER POLO,Before & After,0
VIDEO GAMES,Around the House,0
COCONUT SHRIMP WITH SWEET AND SOUR SAUCE,Food & Drink,0
DRESSER DRAWERS,Around the House,0
HARDWARE AND SOFTWARE,Things,0
GLOBAL PHENOMENON,Thing,0
EXERCISE BIKE,Around the House,0
SWITZERLAND,On the Map,0
PERSONALIZED LICENSE PLATE,Thing,0
GINGERBREAD & SELF-MADE MAN,Same Name,0
BAYWATCH,Title,0
I WONDER HOW MANY VACATION DAYS I HAVE,Phrase,0
GHOSTBUSTERS,The 80's,0
CLIFFHANGER ENDING,Show Biz,0
HIKING PATH,Place,0
ATHLETIC CLUB,Place,0
CHICAGO WHITE SOX,Proper Name,0
BRINGING HOME THE BACON BITS,Before & After,0
STATE OF THE ART TECHNOLOGY,Thing,0
JAWS,Title,0
CHARTING A NEW COURSE,What Are You Doing?,0
YELLOW BRICK ROAD,Fictional Place,0
BETTER LATE THAN NEVER,Phrase,0
CAST OF CHARACTERS,Show Biz,0
LIGHTHOUSE,Place,0
STOCKHOLM SWEDEN,On the Map,0
TRAIN STATION,Place,0
REMOTE CONTROL FREAK,Before & After,0
FORREST GUMP WINS OSCAR FOR BEST PICTURE,The 90's,0
HOME MOVIES,Things,0
FRUIT SALAD TOPPED WITH SHREDDED COCONUT,Food & Drink,0
BANK TELLER,Occupation,0
LISTENING TO A PLAYLIST,What Are You Doing?,0
HIGH INCOME,Thing,0
ISTANBUL TURKEY,On the Map,0
CHARLIZE THERON,Proper Name,0
TO BOLDLY GO WHERE NO MAN HAS GONE BEFORE,TV Quote,0
FOOD COURT JESTER,Before & After,0
WEB PAGE,Thing,0
ESCAPE FROM THE ORDINARY,Phrase,0
YOUR NAME IN LIGHTS,Show Biz,0
EXPERIENCED PROFESSIONAL,Person,0
KAYAK PADDLE,Thing,0
EUROPEAN VACATION,The 80's,0
MOUNTAIN LION,Living Thing,0
AN APPLE A DAY KEEPS THE DOCTOR AWAY,Rhyme Time,0
GREEN GARDENING GLOVES,Same Letter,0
I DREW A BLANK,Phrase,0
SHAKE IT UP BABY TWIST AND SHOUT,Song Lyrics,0
KEVIN SPACEY,Proper Name,0
TIME IS RUNNING OUT,Phrase,0
A THRIVING BUSINESS,Thing,0
